"Author (last, first)",Title,Year Published,Genre,Publisher,Location of Publisher,Location signed by author,Keywords,Derived From,Status and Links,
"Adams, Clayton",Ethiopia: the Land of Promise; A Book With a Purpose,1917,Fiction,Cosmopolitan Press,New York,,Black utopia; segregation; reconstruction,HathiTrust,https://catalog.hathitrust.org/Record/008407122,
"Anderson, William and Walter H. Stowers",Appointed: An American Novel,1894,Fiction,Detroit Law Printing Co.,Detroit,,Interracial friendship; Northerners going south,HathiTrust,https://catalog.hathitrust.org/Record/005568825,
"Andrews, W.T.","A Waif--A Prince; or, A Mother's Triumph",1895,Fiction,"Publishing House, Methodist Episcopal Church South","Nashville, Tennessee",,Religious allegory; Egypt (Hebrews as oppressed workers),History of Black Writing Corpus,Also see LOC: https://www.loc.gov/item/06002450/,
"Ashby, William M.",Redder Blood,1915,Fiction,Cosmopolitan Press,New York,,Passing; Interracial desire,History of Black Writing Corpus,https://catalog.hathitrust.org/Record/004237253,
"Bennett, John","Madam Margot, a Grotesque Legend of Old Charleston",1917,Fiction,Century Co.,New York,,Supernatural; Romance,History of Black Writing Corpus,https://catalog.hathitrust.org/Record/008584649?type%5B%5D=all&lookfor%5B%5D=madame%20margot&ft=ft,
"Bibb, Eloise A.",Poems,1895,Poetry,Monthly Review Press,"Boston, Massachusetts",,Mentions Alice Dunbar-Nelson; Poem to Frederick Douglass; Mentions Harriet Beecher Stowe's Uncle Tom's Cabin; ,Digital Schomburg,Also see American Verse Project: https://quod.lib.umich.edu/a/amverse/BAD9461.0001.001?view=toc,
"Blackson, Lorenzo D.","Rise and Progress of the Kingdoms of Light and Darkness: Or, The Reign of the Kings Alpha and Abedon""",1867,Fiction,"J. Nicholas, Printer","Philadelphia, Pennsylvania",,Christian; Allegory,History of Black Writing Corpus,Also see Archive.org: https://archive.org/details/riseprogressofki00blac,
"Braithwaite, William Stanley",Lyrics of Life and Love,1904,Poetry,Herbert B. Turner co.,"Boston, Massachusetts",,,U-Michigan American Verse Project,,
"Braithwaite, William Stanley","House of Falling Leaves, With Other Poems",1908,Poetry,John W. Luce and Co,"Boston, Massachusetts",,,U-Michigan American Verse Project,,
"Brown, William Wells","Clotel; Or, the President's Daughter: A Narrative of Slave Life in the United States",1853,Fiction,Partridge and Oakey,"London, England",,Slavery; Passing; Interracial; Fugitive Slave Act; Thomas Jefferson,History of Black Writing Corpus,Also see Documenting the American South: https://docsouth.unc.edu/southlit/brown/brown.html,
